Cog,Command Name,Type,Usage,stuff,
basic,swap,Slash,/swap remove,no need remove extra waste stuff,
basic,swapdj,Slash,/swapdj need to remove,,
games,akistats,Prefix,!akistats,,
games,akileaderboard,Prefix,!akilb,,
games,akiachievements,Prefix,!akiach,,
moderation,kick,Slash,/kick,,
moderation,ban,Slash,/ban,,
moderation,unban,Slash,/unban,,
moderation,mute,Slash,/mute,,
moderation,unmute,Slash,/unmute,,
moderation,warn,Slash,/warn,,
moderation,warnings,Slash,/warnings,,
moderation,clearwarnings,Slash,/clearwarnings,,
moderation,purge,Slash,/purge,,
moderation,slowmode,Slash,/slowmode,,
moderation,modlogs,Slash,/modlogs,,
suggestions,suggest,Slash,/suggest,"consolidate into one , with default being anonymous and no option to make your name known",
suggestions,feedback,Slash,/feedback,,
suggestions,bugreport,Slash,/bugreport,,
suggestions,inbox,Slash,/inbox,doesn’t work,
quests,claim,Slash,/claim,check if no longer needed,
basic,forceplay,Slash,/forceplay rename it to playnow,,
basic,rewind,Slash,/rewind,check if they are same or no lonmger needed,
basic,replay,Slash,/replay,,
download,purgelogs,Slash,/purgelogs make it prefix,make it prefix only,
effect,hall,Slash,/hall doesn’t come in embedded or ui,,
fun,kanye,Prefix,!kanye,make it slah commands ,
fun,urban,Prefix,!urban,,
fun,chucknorris,Prefix,!chuck,,
basic,search,Slash,/search,no need remove extra waste stuff,
basic,playtop,Slash,/playtop,,
announce,announce,Slash,/announce,,
basic,connect,Slash,/connect,,
basic,play,Slash,/play,,
basic,pause,Slash,/pause,,
basic,resume,Slash,/resume,,
basic,skip,Slash,/skip,,
basic,back,Slash,/back,,
basic,seek,Slash,/seek,,
basic,history,Slash,/history remove need ot,,
basic,leave,Slash,/leave,,
basic,nowplaying,Slash,/nowplaying,,
basic,loop,Slash,/loop,,
basic,clear,Slash,/clear,,
basic,remove,Slash,/remove,,
basic,forward,Slash,/forward,,
basic,shuffle,Slash,/shuffle,,
basic,move,Slash,/move need more info,,
basic,lyrics,Slash,/lyrics,,
basic,autoplay,Slash,/autoplay,,
basic,help,Slash,/help,,
basic,ping,Slash,/ping,,
basic,dashboard,Slash,/dashboard,,
download,download,Slash,/download,,
effect,speed,Slash,/speed,,
effect,karaoke,Slash,/karaoke,,
effect,tremolo,Slash,/tremolo,,
effect,vibrato,Slash,/vibrato,,
effect,rotation,Slash,/rotation,,
effect,distortion,Slash,/distortion,,
effect,lowpass,Slash,/lowpass,,
effect,channelmix,Slash,/channelmix,,
effect,nightcore,Slash,/nightcore,,
effect,8d,Slash,/8d,,
effect,vaporwave,Slash,/vaporwave,,
effect,cleareffect,Slash,/cleareffect,,
fun,bonk,Slash,/bonk,,
fun,pat,Slash,/pat,,
fun,hug,Slash,/hug,,
fun,kill,Slash,/kill,,
fun,slap,Slash,/slap,,
fun,poke,Slash,/poke,,
fun,punch,Slash,/punch,,
fun,boop,Slash,/boop,,
fun,8ball,Slash,/8ball,,
fun,advice,Slash,/advice,,
fun,fortune,Slash,/fortune,,
fun,rps,Slash,/rps,,
fun,motivation,Slash,/motivation,,
fun,random,Slash,/random,,
fun,coinflip,Slash,/coinflip,,
fun,choose,Slash,/choose,,
fun,joke,Slash,/joke,,
games,cheemskinator,Slash,/cheemskinator,,
games,trivia,Slash,/trivia,,
games,wyr,Slash,/wyr,,
games,guess,Slash,/guess,,
settings,volume,Slash,/volume,,
settings,forcesync,Slash,/forcesync,,
settings,guildsync,Slash,/guildsync,,
settings,debug,Slash,/debug,,
stats,stats,Slash,/stats,,
stats,leaderboard,Slash,/leaderboard,,
leveling,rank,Slash,/rank,,
quests,quests,Slash,/quests,,
quests,daily,Slash,/daily,,
